FID;COORD_X;COORD_Y;LONGITUD;ANGLE;C_Tram;C_Nus_I;C_Nus_F;Distric_D;NDistric_D;Illa_D;CVia_D;TVia_D;NVia_D;Tram_Dret;Distric_E;NDistric_E;Illa_E;CVia_E;TVia_E;NVia_E;Tram_Esq
2497;426993.705;4581030.677;90.364;26;T03352H;N02111Q;N02094G;03;Sants-Montjuïc;71410;365000;Carrer;Carrer Violant Hongria Reina Aragó;4 - 2 <=> 14;03;Sants-Montjuïc;71390;365000;Carrer;Carrer Violant Hongria Reina Aragó;1 <=> 23
2498;427049.21;4581058.062;33.424;26.8;T03353I;N02094G;N02095H;03;Sants-Montjuïc;71400;365000;Carrer;Carrer Violant Hongria Reina Aragó;16 <=> 20;03;Sants-Montjuïc;71390;365000;Carrer;Carrer Violant Hongria Reina Aragó;1 <=> 23
2499;427133.366;4581100.213;154.819;26.6;T03354J;N02095H;N01968B;03;Sants-Montjuïc;71370;365000;Carrer;Carrer Violant Hongria Reina Aragó;22 <=> 58;03;Sants-Montjuïc;71380;365000;Carrer;Carrer Violant Hongria Reina Aragó;25 <=> 61
2500;427072.059;4581034.813;63.598;-76;T03355K;N02096I;N02095H;03;Sants-Montjuïc;71370;173202;Carrer;Carrer Juan de Sada;30 <=> 34;03;Sants-Montjuïc;71400;173202;Carrer;Carrer Juan de Sada;39 <=> 41 - 47
2501;427053.124;4581105.531;82.825;-75;T03356L;N02095H;N02092E;03;Sants-Montjuïc;71380;173202;Carrer;Carrer Juan de Sada;36 <=> 50;03;Sants-Montjuïc;71390;173202;Carrer;Carrer Juan de Sada;49 <=> 55 - 61
2502;427055.717;4580949.761;75.019;-78;T03357M;N02097J;N02098K;03;Sants-Montjuïc;71365;126100;Carrer;Carrer Fisas;10 - 2 <=> 14;03;Sants-Montjuïc;71420;126100;Carrer;Carrer Fisas;1 <=> 11 - 15
2503;427041.027;4581018.467;65.5;-78;T03358N;N02098K;N02094G;03;Sants-Montjuïc;71400;126100;Carrer;Carrer Fisas;18 - 16 <=> 24;03;Sants-Montjuïc;71410;126100;Carrer;Carrer Fisas;17 - 21 <=> 23 - 25
2504;426941.625;4580933.965;71.275;26.7;T03360H;N02100N;N02101O;03;Sants-Montjuïc;71430;286402;Carrer;Carrer Roger;12 <=> 22;03;Sants-Montjuïc;71440;286402;Carrer;Carrer Roger;5 - 7 <=> 15
2505;427010.606;4580968.204;82.749;26.11;T03361I;N02101O;N02098K;03;Sants-Montjuïc;71420;286402;Carrer;Carrer Roger;24 - 26 <=> 40 B;03;Sants-Montjuïc;71410;286402;Carrer;Carrer Roger;17 - 19 <=> 29 B
2506;427063.876;4580995.218;36.732;28.6;T03362J;N02098K;N02096I;03;Sants-Montjuïc;71365;286402;Carrer;Carrer Roger;42 <=> 74;03;Sants-Montjuïc;71400;286402;Carrer;Carrer Roger;31 - 37
2507;427149.435;4581038.198;154.79;26.21;T03363K;N02096I;N01971W;03;Sants-Montjuïc;71365;286402;Carrer;Carrer Roger;42 <=> 74;03;Sants-Montjuïc;71370;286402;Carrer;Carrer Roger;39 <=> 69
2508;427163.226;4580847.51;83.003;294.17;T03364L;N01921M;N02102P;03;Sants-Montjuïc;71330;300605;Carrer;Carrer Sant Feliu de Guíxols;2 <=> 18;03;Sants-Montjuïc;71420;300605;Carrer;Carrer Sant Feliu de Guíxols;1 - 3 <=> 11
2509;427136.704;4580883.19;19.656;11.41;T03365M;N02103Q;N02102P;03;Sants-Montjuïc;71420;060308;Carrer;Carrer Canonge Pibernat;2 <=> 4;03;Sants-Montjuïc;71340;060308;Carrer;Carrer Canonge Pibernat;1 - 3 <=> 9
2510;427183.624;4580893.261;76.324;12.3;T03366N;N02102P;N02104R;03;Sants-Montjuïc;71330;060308;Carrer;Carrer Canonge Pibernat;6 <=> 18;03;Sants-Montjuïc;71340;060308;Carrer;Carrer Canonge Pibernat;11 <=> 35 - 37
2511;427241.492;4580905.769;42.085;12.02;T03367O;N02104R;N01962V;03;Sants-Montjuïc;71330;060308;Carrer;Carrer Canonge Pibernat;20 - 22;03;Sants-Montjuïc;71350;060308;Carrer;Carrer Canonge Pibernat;39 - 41
2512;427225.635;4580963.484;41.959;15.9;T03368P;N01940P;N02105S;03;Sants-Montjuïc;71365;210808;Carrer;Carrer Miquel Àngel;108 - 106 <=> 120;03;Sants-Montjuïc;71350;210808;Carrer;Carrer Miquel Àngel;103 - 105
2513;427152.578;4580942.382;110.129;16.2;T03369Q;N02105S;N02106T;03;Sants-Montjuïc;71365;210808;Carrer;Carrer Miquel Àngel;108 - 106 <=> 120;03;Sants-Montjuïc;71362;210808;Carrer;Carrer Miquel Àngel;107 <=> 115
2514;427101.686;4580919.626;15.356;-75;T03370J;N02107U;N02106T;03;Sants-Montjuïc;71362;173202;Carrer;Carrer Juan de Sada;14;03;Sants-Montjuïc;71365;173202;Carrer;Carrer Juan de Sada;25 - 31 <=> 33
2515;427095.749;4580943.287;33.435;283.65;T03371K;N02106T;N02108V;03;Sants-Montjuïc;71365;173202;Carrer;Carrer Juan de Sada;16 - 18 <=> 22;03;Sants-Montjuïc;71365;173202;Carrer;Carrer Juan de Sada;25 - 31 <=> 33
2516;427160.518;4580913.883;114.35;-3;T03372L;N02109W;N02107U;03;Sants-Montjuïc;71362;010004;Carreró;Carreró Ànimes;2 <=> 20;03;Sants-Montjuïc;71340;010004;Carreró;Carreró Ànimes;1 <=> 27
2517;427083.62;4580913.06;42.826;-63;T03373M;N02107U;N02097J;03;Sants-Montjuïc;71365;010004;Carreró;Carreró Ànimes;22 <=> 24;03;Sants-Montjuïc;71420;010004;Carreró;Carreró Ànimes;29 <=> 31
2518;426983.498;4580921.27;60.857;289.27;T03374N;N02110P;N02101O;03;Sants-Montjuïc;71420;263407;Carrer;Carrer Portbou;18 <=> 30;03;Sants-Montjuïc;71430;263407;Carrer;Carrer Portbou;13 <=> 27 - 29
2519;426963.283;4580980.415;64.154;288.49;T03375O;N02101O;N02111Q;03;Sants-Montjuïc;71410;263407;Carrer;Carrer Portbou;32 - 34 <=> 44;03;Sants-Montjuïc;71440;263407;Carrer;Carrer Portbou;31 <=> 45
2520;426748.209;4580917.731;61.759;38.79;T03376P;N02112R;N02113S;03;Sants-Montjuïc;71470;187207;Avinguda;Avinguda Madrid;12 - 14 <=> 24 - 28;04;Les Corts;71531;187207;Avinguda;Avinguda Madrid;11 - 21
2521;426789.974;4580950.778;44.761;37.75;T03377Q;N02113S;N02114T;03;Sants-Montjuïc;71470;187207;Avinguda;Avinguda Madrid;30 - 34 <=> 36;04;Les Corts;71532;187207;Avinguda;Avinguda Madrid;23 - 25 <=> 31
2522;426831.152;4580982.99;59.8;38.25;T03378R;N02114T;N02115U;03;Sants-Montjuïc;71450;187207;Avinguda;Avinguda Madrid;38 - 40 <=> 44;04;Les Corts;71541;187207;Avinguda;Avinguda Madrid;33 <=> 39 - 41
2523;426874.51;4581017.411;50.921;38.68;T03379S;N02115U;N02116V;03;Sants-Montjuïc;71440;187207;Avinguda;Avinguda Madrid;46 - 54;04;Les Corts;71542;187207;Avinguda;Avinguda Madrid;43 <=> 49
2524;426914.743;4581048.843;51.197;37.32;T03380L;N02116V;N02090C;03;Sants-Montjuïc;71440;187207;Avinguda;Avinguda Madrid;56 - 62;04;Les Corts;71562;187207;Avinguda;Avinguda Madrid;51 - 53 <=> 55 Int - 59 Int
2525;426941.244;4580868.783;116.709;-57;T03381M;N02117W;N02100N;03;Sants-Montjuïc;71430;166003;Carrer;Carrer Jaume Roig;2 <=> 18;03;Sants-Montjuïc;71460;166003;Carrer;Carrer Jaume Roig;1 <=> 21
2526;426882.214;4580959.718;100.126;-57;T03382N;N02100N;N02115U;03;Sants-Montjuïc;71440;166003;Carrer;Carrer Jaume Roig;26 - 20 <=> 30 - 36;03;Sants-Montjuïc;71450;166003;Carrer;Carrer Jaume Roig;23 <=> 45
2527;426848.308;4580855.17;62.168;90;T03383O;N02118X;N02119Y;03;Sants-Montjuïc;71460;023800;Carrer;Carrer Arizala;2 <=> 8;03;Sants-Montjuïc;71470;023800;Carrer;Carrer Arizala;1 - 3 <=> 11 - 17
2528;426828.001;4580925.367;88.164;-63;T03384P;N02119Y;N02114T;03;Sants-Montjuïc;71450;023800;Carrer;Carrer Arizala;10 - 12 <=> 20;03;Sants-Montjuïc;71470;023800;Carrer;Carrer Arizala;1 - 3 <=> 11 - 17
2529;426944.106;4581037.6;56.477;288.6;T03385Q;N02111Q;N02090C;03;Sants-Montjuïc;71390;263407;Carrer;Carrer Portbou;46 - 52 <=> 56;03;Sants-Montjuïc;71440;263407;Carrer;Carrer Portbou;47 <=> 49
2530;426879.064;4580902.096;69.147;27.3;T03386R;N02119Y;N02100N;03;Sants-Montjuïc;71460;286402;Carrer;Carrer Roger;6 - 2 <=> 10;03;Sants-Montjuïc;71450;286402;Carrer;Carrer Roger;1 <=> 3
2531;426956.936;4580820.189;31.535;357.96;T03387S;N02117W;N02120R;03;Sants-Montjuïc;71460;312400;Carrer;Carrer Sants;286 - 288;03;Sants-Montjuïc;72390;312400;Carrer;Carrer Sants;345 - 349
2532;426894.731;4580822.418;92.955;357.94;T03388T;N02120R;N02118X;03;Sants-Montjuïc;71460;312400;Carrer;Carrer Sants;290 <=> 308;03;Sants-Montjuïc;72420;312400;Carrer;Carrer Sants;351 - 355 <=> 371
2533;426800.941;4580825.382;94.721;358.43;T03389U;N02118X;N02121S;03;Sants-Montjuïc;71470;312400;Carrer;Carrer Sants;310 - 314 <=> 334 - 336;03;Sants-Montjuïc;72420;312400;Carrer;Carrer Sants;373 <=> 391 - 393
2534;426719.768;4580828.279;67.735;357.29;T03390N;N02121S;N02122T;03;Sants-Montjuïc;71470;312400;Carrer;Carrer Sants;338 <=> 358;03;Sants-Montjuïc;72430;312400;Carrer;Carrer Sants;395 - 401 <=> 409 - 411
2535;426663.886;4580830.222;44.109;359.11;T03391O;N02122T;N02123U;03;Sants-Montjuïc;71470;312400;Carrer;Carrer Sants;358;03;Sants-Montjuïc;72441;312400;Carrer;Carrer Sants;413 - 415 <=> 425 - 427
2536;426682.987;4580864.475;106.649;39.49;T03393Q;N02123U;N02112R;03;Sants-Montjuïc;71470;187207;Avinguda;Avinguda Madrid;2 <=> 8 - 10;04;Les Corts;71480;187207;Avinguda;Avinguda Madrid;1 - 3 <=> 9
2537;426685.355;4580809.407;40.964;88.37;T03394R;N02122T;N02125W;03;Sants-Montjuïc;72441;223300;Carrer;Carrer Munné;2 - 6;03;Sants-Montjuïc;72430;223300;Carrer;Carrer Munné;1 - 7 <=> 9
2538;426683.605;4580764.378;49.166;87.28;T03395S;N02125W;N02126X;03;Sants-Montjuïc;72442;223300;Carrer;Carrer Munné;8 - 10;03;Sants-Montjuïc;72430;223300;Carrer;Carrer Munné;11 <=> 15 - 17
2539;426643.261;4580790.3;83.068;358.11;T03396T;N02125W;N02127Y;03;Sants-Montjuïc;72441;238206;Passatge;Passatge Paca Soler;2 <=> 22;03;Sants-Montjuïc;72442;238206;Passatge;Passatge Paca Soler;1 - 15
2540;427097.575;4580574.87;100.485;30.3;T03397U;N01736N;N02128Z;03;Sants-Montjuïc;72330;300106;Carrer;Carrer Sant Frederic;6 - 2 <=> 22;03;Sants-Montjuïc;72280;300106;Carrer;Carrer Sant Frederic;1 - 3 <=> 9 - 17
2541;427017.349;4580527.334;86.023;31.1;T03398V;N02128Z;N02129A;03;Sants-Montjuïc;72320;300106;Carrer;Carrer Sant Frederic;28 - 24 <=> 44 - 38;03;Sants-Montjuïc;72290;300106;Carrer;Carrer Sant Frederic;19 - 29 <=> 31 - 39
2542;426951.331;4580487.072;68.634;31.78;T03399W;N02129A;N02130T;03;Sants-Montjuïc;72310;300106;Carrer;Carrer Sant Frederic;46 - 48 <=> 60;03;Sants-Montjuïc;72300;300106;Carrer;Carrer Sant Frederic;41 - 43 <=> 51
2543;427056.231;4580643.938;99.163;31;T03400Y;N02131U;N02132V;03;Sants-Montjuïc;72340;113109;Carrer;Carrer Escultor Canet;4 - 2 <=> 16 - 14;03;Sants-Montjuïc;72330;113109;Carrer;Carrer Escultor Canet;1 - 3 <=> 13 - 15
2544;426976.714;4580595.816;86.725;31.33;T03401Z;N02132V;N02133W;03;Sants-Montjuïc;72350;113109;Carrer;Carrer Escultor Canet;18 <=> 30 B;03;Sants-Montjuïc;72320;113109;Carrer;Carrer Escultor Canet;17 <=> 27
2545;427193.347;4580513.449;64.558;301.18;T03402A;N01716J;N01730H;03;Sants-Montjuïc;72270;328808;Carrer;Carrer Sugranyes;64 - 76;03;Sants-Montjuïc;72160;328808;Carrer;Carrer Sugranyes;65 - 75
2546;427158.794;4580570.643;69.083;301.1;T03403B;N01730H;N01736N;03;Sants-Montjuïc;72280;328808;Carrer;Carrer Sugranyes;50 - 54 <=> 62;03;Sants-Montjuïc;72152;328808;Carrer;Carrer Sugranyes;51 <=> 63
2547;427008.519;4580445.728;88.248;30.81;T03404C;N02134X;N02135Y;03;Sants-Montjuïc;72260;030103;Carrer;Carrer Bacardí;2 <=> 22 - 20;03;Sants-Montjuïc;72300;030103;Carrer;Carrer Bacardí;1 <=> 11
2548;427067.781;4580480.195;48.881;29;T03405D;N02135Y;N02136Z;03;Sants-Montjuïc;72260;030103;Carrer;Carrer Bacardí;2 <=> 22 - 20;03;Sants-Montjuïc;72290;030103;Carrer;Carrer Bacardí;13 <=> 15 - 19
2549;427132.892;4580516.563;100.276;29.3;T03406E;N02136Z;N01730H;03;Sants-Montjuïc;72270;030103;Carrer;Carrer Bacardí;24 <=> 42 - 36;03;Sants-Montjuïc;72280;030103;Carrer;Carrer Bacardí;21 - 25 <=> 33 B - 35
2550;427071.388;4580406.107;117.266;30.06;T03408G;N02137A;N02138B;03;Sants-Montjuïc;72260;059105;Carrer;Carrer Canalejas;76 <=> 88;03;Sants-Montjuïc;72250;059105;Carrer;Carrer Canalejas;107
2551;427071.673;4580520.79;67.255;-59;T03409H;N02128Z;N02136Z;03;Sants-Montjuïc;72290;068401;Carrer;Carrer Carreras i Candi;66 - 62 <=> 70;03;Sants-Montjuïc;72280;068401;Carrer;Carrer Carreras i Candi;51 - 63
2552;427105.641;4580463.769;65.496;-60;T03410A;N02136Z;N02137A;03;Sants-Montjuïc;72260;068401;Carrer;Carrer Carreras i Candi;74 - 72 <=> 84 - 76;03;Sants-Montjuïc;72270;068401;Carrer;Carrer Carreras i Candi;65 - 77
2553;427140.923;4580404.901;71.776;-58;T03411B;N02137A;N02139C;03;Sants-Montjuïc;72250;068401;Carrer;Carrer Carreras i Candi;86;03;Sants-Montjuïc;72240;068401;Carrer;Carrer Carreras i Candi;79 - 89 <=> 91
2554;427201.768;4580402.005;100.933;31.3;T03412C;N01740J;N02139C;03;Sants-Montjuïc;72240;247808;Carrer;Carrer Pavia;70 - 64 <=> 84 - 76;03;Sants-Montjuïc;72230;247808;Carrer;Carrer Pavia;63 - 65 <=> 77 - 83
2555;427140.324;4580344.819;70.611;56.69;T03413D;N02139C;N02140V;03;Sants-Montjuïc;72250;247808;Carrer;Carrer Pavia;86;03;Sants-Montjuïc;72220;247808;Carrer;Carrer Pavia;85 - 87 <=> 93 - 95
2556;427189.435;4580348.447;78.818;318.96;T03414E;N02139C;N01739Q;03;Sants-Montjuïc;72220;068401;Carrer;Carrer Carreras i Candi;94 - 88 <=> 100 - 98;03;Sants-Montjuïc;72230;068401;Carrer;Carrer Carreras i Candi;93 - 95 <=> 99 - 101
2557;427024.265;4580795.623;48.513;300.92;T03415F;N02141W;N02142X;03;Sants-Montjuïc;72390;328808;Carrer;Carrer Sugranyes;2 <=> 4;03;Sants-Montjuïc;72151;328808;Carrer;Carrer Sugranyes;1 <=> 3
2558;427067.58;4580722.392;122.728;300.48;T03416G;N02142X;N02131U;03;Sants-Montjuïc;72340;328808;Carrer;Carrer Sugranyes;6 - 8 <=> 32;03;Sants-Montjuïc;72151;328808;Carrer;Carrer Sugranyes;5 <=> 35 - 37
2559;427119.831;4580634.865;81.152;301.37;T03417H;N02131U;N01736N;03;Sants-Montjuïc;72330;328808;Carrer;Carrer Sugranyes;34 <=> 48;03;Sants-Montjuïc;72151;328808;Carrer;Carrer Sugranyes;39 - 41 <=> 49
2560;426938.023;4580807.987;26.293;76.1;T03418I;N02120R;N02143Y;03;Sants-Montjuïc;72420;068401;Carrer;Carrer Carreras i Candi;2;03;Sants-Montjuïc;72390;068401;Carrer;Carrer Carreras i Candi;1 - 3 <=> 11 - 13
2561;426937.459;4580761.509;69.318;-79;T03419J;N02143Y;N02144Z;03;Sants-Montjuïc;72400;068401;Carrer;Carrer Carreras i Candi;4 <=> 20 - 18;03;Sants-Montjuïc;72390;068401;Carrer;Carrer Carreras i Candi;1 - 3 <=> 11 - 13
2562;426971.013;4580694.948;79.045;-63;T03420C;N02144Z;N02145A;03;Sants-Montjuïc;72380;068401;Carrer;Carrer Carreras i Candi;22 <=> 36 - 34;03;Sants-Montjuïc;72340;068401;Carrer;Carrer Carreras i Candi;15 <=> 35
2563;427001.464;4580639.106;48.215;-59;T03421D;N02145A;N02132V;03;Sants-Montjuïc;72350;068401;Carrer;Carrer Carreras i Candi;38 <=> 44;03;Sants-Montjuïc;72340;068401;Carrer;Carrer Carreras i Candi;15 <=> 35
2564;427033.975;4580583.943;79.846;-60;T03422E;N02132V;N02128Z;03;Sants-Montjuïc;72320;068401;Carrer;Carrer Carreras i Candi;46 <=> 60;03;Sants-Montjuïc;72330;068401;Carrer;Carrer Carreras i Candi;37 - 39 <=> 49
2565;426994.65;4580752.662;95.05;28.4;T03423F;N02142X;N02144Z;03;Sants-Montjuïc;72390;050905;Carrer;Carrer Ventura Plaja;2 <=> 20 - 18;03;Sants-Montjuïc;72340;050905;Carrer;Carrer Ventura Plaja;1 <=> 17
2566;426890.783;4580684.791;153.629;36.1;T03424G;N02144Z;N02146B;03;Sants-Montjuïc;72400;050905;Carrer;Carrer Ventura Plaja;22 <=> 56;03;Sants-Montjuïc;72380;050905;Carrer;Carrer Ventura Plaja;19 <=> 49
2567;426797.561;4580617.112;76.769;35.74;T03425H;N02146B;N02147C;03;Sants-Montjuïc;72410;050905;Carrer;Carrer Ventura Plaja;58 <=> 62;03;Sants-Montjuïc;72370;050905;Carrer;Carrer Ventura Plaja;51 <=> 57 - 61
2568;426952.039;4580637.169;87.027;31.4;T03426I;N02145A;N02148D;03;Sants-Montjuïc;72380;270005;Carrer;Carrer Puig i Valls;6 - 2 <=> 16 - 14;03;Sants-Montjuïc;72350;270005;Carrer;Carrer Puig i Valls;1 - 3 <=> 13 - 15
2569;426994.211;4580818.793;43.066;357.78;T03429L;N02117W;N02141W;03;Sants-Montjuïc;71430;312400;Carrer;Carrer Sants;276 - 280 <=> 282 - 284;03;Sants-Montjuïc;72390;312400;Carrer;Carrer Sants;333 - 335 <=> 339 - 343
2570;427099.275;4580814.529;167.236;-2;T03430E;N01921M;N02141W;03;Sants-Montjuïc;71420;312400;Carrer;Carrer Sants;238 - 236 <=> 274 - 272;03;Sants-Montjuïc;72151;312400;Carrer;Carrer Sants;295 - 297 <=> 329 - 331
2571;427004.634;4580855.252;77.818;286.57;T03431F;N02110P;N02141W;03;Sants-Montjuïc;71420;263407;Carrer;Carrer Portbou;2 - 4 <=> 16;03;Sants-Montjuïc;71430;263407;Carrer;Carrer Portbou;1 - 9 <=> 11 - 13
2572;427009.478;4580476.671;79.536;-33;T03432G;N02135Y;N02129A;03;Sants-Montjuïc;72290;045202;Carrer;Carrer Bonsoms;6 - 2 <=> 10;03;Sants-Montjuïc;72300;045202;Carrer;Carrer Bonsoms;1 <=> 9
2573;426960.089;4580539.207;79.416;300.94;T03433H;N02129A;N02133W;03;Sants-Montjuïc;72320;045202;Carrer;Carrer Bonsoms;12 <=> 22;03;Sants-Montjuïc;72310;045202;Carrer;Carrer Bonsoms;11 <=> 21
2574;426927.289;4580593.879;48.097;-59;T03434I;N02133W;N02148D;03;Sants-Montjuïc;72350;045202;Carrer;Carrer Bonsoms;24 <=> 28 - 26;03;Sants-Montjuïc;72360;045202;Carrer;Carrer Bonsoms;23 <=> 25 - 27
2575;426872.101;4580638.425;96.326;-2;T03435J;N02148D;N02146B;03;Sants-Montjuïc;72380;045202;Carrer;Carrer Bonsoms;34 - 30 <=> 44;03;Sants-Montjuïc;72370;045202;Carrer;Carrer Bonsoms;29 - 33 <=> 43
2576;426805.356;4580669.722;76.661;-55;T03436K;N02146B;N02150X;03;Sants-Montjuïc;72400;338903;Carrer;Carrer Torns;2 <=> 18;03;Sants-Montjuïc;72410;338903;Carrer;Carrer Torns;1 <=> 17
2577;426751.968;4580764.243;134.57;88.5;T03437L;N02150X;N02121S;03;Sants-Montjuïc;72420;338903;Carrer;Carrer Torns;20 <=> 38;03;Sants-Montjuïc;72430;338903;Carrer;Carrer Torns;19 - 21 <=> 37 - 39
2578;426881.819;4580765.926;122.203;32.6;T03438M;N02143Y;N02151Y;03;Sants-Montjuïc;72420;036100;Carrer;Carrer Bassegoda;2 <=> 44 - 40;03;Sants-Montjuïc;72400;036100;Carrer;Carrer Bassegoda;1 <=> 47
2579;426807.27;4580717.048;57.305;34.1;T03439N;N02151Y;N02150X;03;Sants-Montjuïc;72420;036100;Carrer;Carrer Bassegoda;2 <=> 44 - 40;03;Sants-Montjuïc;72400;036100;Carrer;Carrer Bassegoda;1 <=> 47
2580;426758.851;4580684.008;59.93;34.5;T03440G;N02150X;N02152Z;03;Sants-Montjuïc;72430;036100;Carrer;Carrer Bassegoda;46 <=> 58 - 56;03;Sants-Montjuïc;72410;036100;Carrer;Carrer Bassegoda;49 <=> 61
2581;426812.842;4580760.71;66.079;303.34;T03441H;N02151Y;N02153A;03;Sants-Montjuïc;72420;045304;Carrer;Carrer Bonveí;2 <=> 16;03;Sants-Montjuïc;72420;045304;Carrer;Carrer Bonveí;1 <=> 13
2582;427906.128;4580636.548;90.167;-67;T03442I;N01820I;N01828Q;03;Sants-Montjuïc;72671;010503;Carrer;Carrer Almeria;2 <=> 16;03;Sants-Montjuïc;72680;010503;Carrer;Carrer Almeria;1 - 3 <=> 13
2583;427926.231;4580589.412;12.327;-65;T03443J;N01828Q;N01813J;03;Sants-Montjuïc;72671;010503;Carrer;Carrer Almeria;2 <=> 16;03;Sants-Montjuïc;72610;010503;Carrer;Carrer Almeria;15 <=> 33
2584;427937.923;4580560.397;50.257;-69;T03444K;N01813J;N01809N;03;Sants-Montjuïc;72672;010503;Carrer;Carrer Almeria;18 <=> 24;03;Sants-Montjuïc;72610;010503;Carrer;Carrer Almeria;15 <=> 33
2585;427958.787;4580508.593;61.443;-67;T03445L;N01809N;N01784V;03;Sants-Montjuïc;72661;010503;Carrer;Carrer Almeria;26 - 28 <=> 34;03;Sants-Montjuïc;72610;010503;Carrer;Carrer Almeria;15 <=> 33
2586;428570.598;4580690.542;74.564;13.47;T03446M;N01861R;N02154B;03;Sants-Montjuïc;70011;360301;Carrer;Carrer Vidriol;2 <=> 22 - 24;03;Sants-Montjuïc;70012;360301;Carrer;Carrer Vidriol;1 <=> 9 - 11
2587;428639.172;4580608.936;156.684;17.7;T03452K;N02158F;N01860Q;03;Sants-Montjuïc;70100;045803;Carretera;Carretera Bordeta;2 - 6 <=> 38 B;03;Sants-Montjuïc;70190;045803;Carretera;Carretera Bordeta;1 <=> 17
2588;428487.149;4580388.355;33.298;44.81;T03453L;N01883X;N02160Z;03;Sants-Montjuïc;21790;169409;Gran Via;Gran Via Corts Catalanes;282 <=> 284;03;Sants-Montjuïc;70180;169409;Gran Via;Gran Via Corts Catalanes;291 - 293
2589;428548.056;4580450.26;140.392;45.6;T03454M;N02160Z;N02161A;03;Sants-Montjuïc;21780;169409;Gran Via;Gran Via Corts Catalanes;288 - 286 <=> 304;03;Sants-Montjuïc;70180;169409;Gran Via;Gran Via Corts Catalanes;291 - 293 <=> 327
2590;428654.204;4580554.228;156.833;43.32;T03455N;N02161A;N02158F;03;Sants-Montjuïc;21650;169409;Gran Via;Gran Via Corts Catalanes;306 - 310 <=> 322 - 324;03;Sants-Montjuïc;70190;169409;Gran Via;Gran Via Corts Catalanes;329 <=> 351
2591;428582.921;4580543.44;90.601;-72;T03456O;N02161A;N01860Q;03;Sants-Montjuïc;70190;310700;Carrer;Carrer Sant Roc;4 - 2 <=> 12 - 8;03;Sants-Montjuïc;70180;310700;Carrer;Carrer Sant Roc;1 - 7 <=> 15
2592;428663.993;4580444.037;98.264;34.89;T03457P;N02162B;N02163C;03;Sants-Montjuïc;21650;300004;Carrer;Carrer Sant Ferriol;2 - 6 <=> 8 - 12;03;Sants-Montjuïc;21650;300004;Carrer;Carrer Sant Ferriol;1 <=> 15 - 17
2593;428609.768;4580457.966;88.588;-72;T03458Q;N02161A;N02163C;03;Sants-Montjuïc;21780;301903;Carrer;Carrer Sant Germà;2 <=> 20;03;Sants-Montjuïc;21650;301903;Carrer;Carrer Sant Germà;1 - 3 <=> 15
2594;428633.177;4580385.535;73.189;-73;T03459R;N02163C;N02164D;03;Sants-Montjuïc;21780;301903;Carrer;Carrer Sant Germà;2 <=> 20;03;Sants-Montjuïc;21650;301903;Carrer;Carrer Sant Germà;1 - 3 <=> 15
2595;428677.697;4580377.227;54.947;40.14;T03461L;N02166F;N02164D;03;Sants-Montjuïc;21650;301608;Carrer;Carrer Sant Fructuós;24 <=> 26 - 28;03;Sants-Montjuïc;21710;301608;Carrer;Carrer Sant Fructuós;23 <=> 25 - 27
2596;428619.214;4580329.054;96.598;39.4;T03462M;N02164D;N01894A;03;Sants-Montjuïc;21780;301608;Carrer;Carrer Sant Fructuós;32 - 30 <=> 40 - 38;03;Sants-Montjuïc;21721;301608;Carrer;Carrer Sant Fructuós;29 <=> 53
2597;428821.516;4580318.209;87.217;313.37;T03464O;N02168H;N02169I;03;Sants-Montjuïc;21680;221101;Carrer;Carrer Morabos;12 <=> 24;03;Sants-Montjuïc;21670;221101;Carrer;Carrer Morabos;11 - 15 <=> 15
2598;428825.536;4580382.967;94.796;44.2;T03465P;N02170B;N02168H;03;Sants-Montjuïc;21661;145604;Carrer;Carrer Gimbernat;4 - 2 <=> 24 - 16;03;Sants-Montjuïc;21670;145604;Carrer;Carrer Gimbernat;1 <=> 1 - 9
2599;428717.575;4580305.744;53.785;26.36;T03467R;N02171C;N02172D;03;Sants-Montjuïc;21710;228905;Carrer;Carrer Nord;8 <=> 10;03;Sants-Montjuïc;21700;228905;Carrer;Carrer Nord;9 - 15 <=> 17 - 19
2600;428736.585;4580270.681;53.398;27.61;T03469T;N02174F;N02175G;03;Sants-Montjuïc;21700;353656;Carrer;Carrer Valls;10 - 12 <=> 16 - 32;03;Sants-Montjuïc;21725;353656;Carrer;Carrer Valls;9 <=> 11 - 13
2601;428675.087;4580326.659;75.307;-61;T03471N;N02164D;N02172D;03;Sants-Montjuïc;21721;273309;Carrer;Carrer Rabí Rubèn;2 <=> 16;03;Sants-Montjuïc;21710;273309;Carrer;Carrer Rabí Rubèn;1 <=> 17
2602;428703.202;4580276.055;40.475;-61;T03472O;N02172D;N02175G;03;Sants-Montjuïc;21721;273309;Carrer;Carrer Rabí Rubèn;2 <=> 16;03;Sants-Montjuïc;21700;273309;Carrer;Carrer Rabí Rubèn;19 <=> 29
2603;428720.185;4580356.312;88.401;299.08;T03473P;N02166F;N02171C;03;Sants-Montjuïc;21710;014504;Carrer;Carrer Amposta;2 <=> 20 - 22;03;Sants-Montjuïc;21662;014504;Carrer;Carrer Amposta;1 <=> 9
2604;428750.957;4580300.37;39.296;298.21;T03474Q;N02171C;N02174F;03;Sants-Montjuïc;21700;014504;Carrer;Carrer Amposta;24 <=> 28 B;03;Sants-Montjuïc;21680;014504;Carrer;Carrer Amposta;11 - 19 <=> 19 B
